nation,scopus_profiles,orcid_profiles,total
United Kingdom,778,716,900
Germany,681,541,733
France,471,367,518
Netherlands,360,293,416
Switzerland,256,197,284
Spain,177,146,274
Israel,232,158,248
Italy,231,228,237
Sweden,137,106,156
Belgium,142,117,152
Austria,109,109,126
Denmark,88,73,94
Finland,85,70,94
Ireland,52,51,55
Portugal,31,34,55
Norway,42,34,47
Hungary,28,21,29
Greece,19,13,23
Czechia,19,15,20
Poland,15,15,16
Turkey,12,9,14
Luxembourg,7,8,8
Cyprus,6,5,6
Slovenia,6,4,6
Romania,5,2,6
Iceland,4,3,4
Estonia,3,3,3
Serbia,2,2,2
Bulgaria,1,1,1
Croatia,0,0,1
Lithuania,1,0,1
Malta,1,1,1
