nation,scopus_profiles,orcid_profiles,total
Austria,110,106,127
Belgium,142,109,153
Bulgaria,1,1,1
Croatia,0,0,1
Cyprus,6,5,6
Czechia,19,15,20
Denmark,92,70,98
Estonia,3,2,3
Finland,88,64,96
France,470,332,516
Germany,578,429,625
Greece,16,16,24
Hungary,28,16,29
Iceland,4,3,4
Ireland,54,60,65
Israel,240,181,257
Italy,232,230,238
Lithuania,1,0,1
Luxembourg,7,7,8
Malta,1,1,1
Netherlands,362,292,416
Norway,42,32,47
Poland,15,14,16
Portugal,30,26,53
Romania,5,2,6
Serbia,2,2,2
Slovenia,6,3,6
Spain,180,134,278
Sweden,125,82,145
Switzerland,236,174,261
Turkey,12,9,14
United Kingdom,728,661,845
