nation,scopus_profiles,orcid_profiles
Austria,110,106
Belgium,142,109
Bulgaria,1,1
Cyprus,6,5
Czechia,19,15
Denmark,92,70
Estonia,3,2
Finland,88,64
France,470,332
Germany,578,429
Greece,16,16
Hungary,28,16
Iceland,4,3
Ireland,54,60
Israel,240,181
Italy,232,230
Lithuania,1,0
Luxembourg,7,7
Malta,1,1
Netherlands,362,292
Norway,42,32
Poland,15,14
Portugal,30,26
Romania,5,2
Serbia,2,2
Slovenia,6,3
Spain,180,134
Sweden,125,82
Switzerland,236,174
Turkey,12,9
United Kingdom,728,661
