nation,AGRI,ARTS,BIOC,BUSI,CENG,CHEM,COMP,DECI,DENT,EART,ECON,ENER,ENGI,ENVI,HEAL,IMMU,MATE,MATH,MEDI,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE,MULT,SH,PE,LS,total,
Austria,2,6,37,1,0,5,9,0,0,1,0,0,3,3,0,3,8,3,3,3,0,0,14,1,6,0,0,17,43,48,108,108
Belgium,2,8,28,0,3,5,9,0,0,5,1,1,9,3,0,3,8,4,15,3,0,0,21,2,11,0,0,25,65,51,141,141
Bulgaria,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Cyprus,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,3,1,6,6
Czechia,1,0,5,0,0,5,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,9,7,18,18
Denmark,4,0,22,0,0,3,9,0,0,3,1,0,2,1,0,3,5,0,6,2,0,0,17,1,6,0,1,9,39,37,86,85
Estonia,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,3
Finland,6,4,13,0,0,2,5,0,0,8,0,0,0,1,0,1,9,3,6,1,0,1,14,1,8,0,0,14,41,28,83,83
France,13,9,103,0,1,28,40,0,0,35,8,1,15,1,0,10,18,33,27,23,0,1,86,4,9,0,0,31,257,177,465,465
Germany,12,17,183,1,1,45,55,0,0,18,5,0,13,5,0,9,46,16,55,31,0,2,129,3,28,0,1,59,323,292,675,674
Greece,0,2,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,4,0,1,0,0,3,7,5,15,15
Hungary,1,1,3,0,0,1,3,0,0,0,2,0,0,0,0,0,1,3,0,5,0,0,4,2,2,0,0,7,12,9,28,28
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3
Ireland,0,4,6,2,0,3,1,0,0,2,0,0,6,2,0,0,5,0,8,3,0,0,4,0,5,0,0,13,21,17,51,51
Israel,4,5,81,0,0,9,29,0,0,4,1,0,3,0,0,4,8,22,6,13,0,0,35,1,5,0,0,12,110,108,230,230
Italy,2,14,36,0,2,12,12,0,0,3,10,2,18,3,0,3,13,6,15,8,0,0,55,2,12,0,0,41,123,64,228,228
Lithuania,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Luxembourg,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,5,1,7,7
Malta,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Netherlands,4,24,54,0,2,28,15,0,0,14,3,0,21,4,0,3,15,1,34,23,0,0,45,19,48,0,0,98,141,118,357,357
Norway,1,0,5,0,0,0,2,0,0,7,3,0,1,0,0,0,0,1,3,4,0,0,8,1,6,0,0,10,19,13,42,42
Poland,0,2,2,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,8,3,14,14
Portugal,3,1,8,0,1,0,1,0,0,1,0,0,1,0,0,1,6,0,0,3,0,1,1,0,3,0,0,4,11,16,31,31
Romania,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,2,0,5,5
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,2
Slovenia,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,1,6,6
Spain,1,5,32,0,2,13,12,0,0,8,4,0,10,3,0,3,13,6,17,3,0,1,26,2,8,0,0,22,90,57,169,169
Sweden,8,3,34,0,0,4,5,0,0,1,2,0,12,6,0,2,6,3,10,4,0,2,24,0,7,0,0,18,55,60,133,133
Switzerland,9,3,55,0,1,18,19,0,1,12,4,1,24,4,0,5,8,11,6,13,0,0,48,2,9,0,2,22,142,89,255,253
Turkey,0,0,2,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,1,0,2,0,0,4,5,3,12,12
United Kingdom,34,39,133,1,7,44,39,0,1,40,26,3,22,12,0,9,44,18,56,30,1,0,132,12,70,0,0,160,349,264,773,773
