Pair,Count
AGRI;BIOC,47
AGRI;COMP,3
BIOC;COMP,22
AGRI;ENVI,28
BIOC;ENVI,12
AGRI;IMMU,14
BIOC;IMMU,29
AGRI;MATH,5
BIOC;MATH,19
AGRI;MEDI,13
BIOC;MEDI,69
AGRI;MULT,7
BIOC;MULT,29
AGRI;NEUR,9
BIOC;NEUR,33
AGRI;PSYC,12
BIOC;PSYC,7
AGRI;CHEM,5
BIOC;CHEM,43
AGRI;CENG,3
CENG;CHEM,24
AGRI;EART,21
BIOC;EART,8
EART;ENVI,29
AGRI;DECI,1
DECI;ENVI,1
AGRI;ENGI,6
ENGI;ENVI,7
ENVI;IMMU,6
ENVI;MEDI,7
ENVI;MULT,3
AGRI;MATE,2
BIOC;MATE,31
MEDI;PSYC,19
NEUR;PSYC,21
AGRI;SOCI,14
PSYC;SOCI,30
AGRI;VETE,2
ENVI;VETE,1
AGRI;ARTS,4
ARTS;SOCI,55
ARTS;CHEM,3
ARTS;MATE,4
CHEM;MATE,34
ARTS;COMP,12
ARTS;PSYC,11
COMP;PSYC,9
ARTS;EART,11
EART;SOCI,12
ARTS;ENGI,4
ARTS;MULT,6
ENGI;MULT,4
ARTS;CENG,1
CENG;MATE,11
ARTS;MATH,9
MATH;SOCI,15
ARTS;MEDI,13
ARTS;BIOC,4
MEDI;MULT,5
ARTS;NURS,1
MEDI;NURS,11
MEDI;SOCI,28
ARTS;PHYS,8
EART;PHYS,38
PHYS;SOCI,3
ARTS;BUSI,5
BUSI;SOCI,21
CHEM;SOCI,2
COMP;SOCI,24
ARTS;ECON,6
ECON;SOCI,32
ENGI;SOCI,11
ARTS;ENVI,5
ENVI;SOCI,24
ARTS;HEAL,1
HEAL;SOCI,2
MATE;SOCI,1
MULT;SOCI,5
ARTS;NEUR,5
NEUR;SOCI,5
ARTS;PHAR,1
PHAR;SOCI,2
BIOC;CENG,16
BIOC;PHYS,34
AGRI;PHYS,6
CENG;IMMU,2
CENG;MULT,1
CHEM;COMP,5
CHEM;IMMU,2
CHEM;MEDI,7
CHEM;MULT,5
BIOC;PHAR,19
CHEM;PHAR,6
CHEM;PHYS,28
COMP;MATH,39
COMP;MEDI,21
COMP;MULT,4
BIOC;ENGI,24
CENG;ENGI,19
CHEM;ENGI,18
ENGI;MATE,34
ENGI;MEDI,22
ENGI;PHAR,1
ENGI;PHYS,43
COMP;IMMU,1
IMMU;MATE,1
IMMU;MEDI,18
IMMU;MULT,3
IMMU;NEUR,4
IMMU;PHYS,3
MATE;MEDI,10
MATE;PHAR,3
MATE;PHYS,35
MATH;MEDI,13
MATH;MULT,3
CENG;MEDI,5
MEDI;NEUR,30
BIOC;NURS,3
MEDI;PHAR,9
MEDI;PHYS,17
MATE;MULT,3
MULT;NEUR,8
MULT;PHAR,2
MATE;NEUR,1
NEUR;PHAR,4
NEUR;PHYS,5
COMP;PHYS,18
MATH;PHYS,31
MULT;PHYS,17
BIOC;VETE,2
MEDI;VETE,2
BUSI;COMP,5
BUSI;DECI,3
COMP;DECI,6
BUSI;ECON,13
BUSI;ENGI,4
ECON;ENGI,3
BUSI;MATE,1
CENG;ENVI,3
CHEM;ENVI,15
CENG;ENER,6
ENER;ENGI,15
CHEM;ENER,9
BIOC;ENER,1
CENG;PHYS,7
CHEM;EART,14
COMP;EART,13
ENER;MATE,10
ENVI;MATE,3
BIOC;SOCI,7
COMP;ENGI,38
EART;ENGI,21
EART;MATH,8
COMP;MATE,4
ENGI;MATH,21
COMP;NEUR,12
ENGI;NEUR,9
ENGI;PSYC,1
DECI;MATH,12
COMP;ECON,5
ECON;MATH,9
COMP;ENVI,5
ENVI;MATH,3
DENT;ENGI,2
DENT;MATE,1
DENT;MEDI,4
BIOC;DENT,2
EART;IMMU,2
EART;MULT,10
EART;ENER,4
ENER;ENVI,8
ENVI;PHYS,4
EART;MATE,6
EART;MEDI,2
AGRI;ECON,4
DECI;ECON,6
BUSI;MATH,2
ECON;ENVI,11
ECON;MEDI,5
BUSI;MEDI,2
ECON;PHYS,2
ECON;PSYC,3
BUSI;PSYC,5
DECI;SOCI,3
ENER;MEDI,1
ENER;SOCI,4
COMP;ENER,1
ENER;MATH,1
ENER;PHYS,9
MATE;MATH,4
ENVI;PHAR,1
ECON;ENER,2
BUSI;ENVI,3
BUSI;ENER,1
CHEM;MATH,3
DECI;ENGI,3
DECI;PHYS,3
CENG;MATH,1
MATH;PSYC,6
HEAL;MEDI,8
BIOC;HEAL,2
HEAL;NEUR,3
HEAL;PHYS,2
ENGI;IMMU,1
IMMU;NURS,1
IMMU;PHAR,1
IMMU;VETE,1
IMMU;MATH,1
NEUR;NURS,1
IMMU;PSYC,1
PHAR;PSYC,1
NURS;SOCI,2
CHEM;NEUR,1
MATH;NEUR,2
MULT;PSYC,3
NURS;PHAR,1
BUSI;PHYS,1
ENER;MULT,1
HEAL;PSYC,2
AGRI;PHAR,1
ARTS;DECI,1
ARTS;ENER,1
BIOC;BUSI,1
