nation,AGRI,ARTS,BIOC,BUSI,CENG,CHEM,COMP,DECI,DENT,EART,ECON,ENER,ENGI,ENVI,HEAL,IMMU,MATE,MATH,MEDI,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE,MULT,total
Austria,2,6,37,1,0,5,9,0,0,1,0,0,3,3,0,3,8,3,3,3,0,0,14,1,6,0,0,108
Belgium,2,8,28,0,3,5,9,0,0,5,1,1,9,3,0,3,8,4,15,3,0,0,21,2,11,0,0,141
Bulgaria,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cyprus,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,6
Czechia,1,0,5,0,0,5,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,18
Denmark,4,0,22,0,0,3,9,0,0,3,1,0,2,1,0,3,5,0,6,2,0,0,17,1,6,0,1,86
Estonia,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Finland,6,4,13,0,0,2,5,0,0,8,0,0,0,1,0,1,9,3,6,1,0,1,14,1,8,0,0,83
France,13,9,103,0,1,28,40,0,0,35,8,1,15,1,0,10,18,33,27,23,0,1,86,4,9,0,0,465
Germany,12,17,183,1,1,45,55,0,0,18,5,0,13,5,0,9,46,16,55,31,0,2,129,3,28,0,1,675
Greece,0,2,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,4,0,1,0,0,15
Hungary,1,1,3,0,0,1,3,0,0,0,2,0,0,0,0,0,1,3,0,5,0,0,4,2,2,0,0,28
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Ireland,0,4,6,2,0,3,1,0,0,2,0,0,6,2,0,0,5,0,8,3,0,0,4,0,5,0,0,51
Israel,4,5,81,0,0,9,29,0,0,4,1,0,3,0,0,4,8,22,6,13,0,0,35,1,5,0,0,230
Italy,2,14,36,0,2,12,12,0,0,3,10,2,18,3,0,3,13,6,15,8,0,0,55,2,12,0,0,228
Lithuania,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Luxembourg,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7
Malta,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Netherlands,4,24,54,0,2,28,15,0,0,14,3,0,21,4,0,3,15,1,34,23,0,0,45,19,48,0,0,357
Norway,1,0,5,0,0,0,2,0,0,7,3,0,1,0,0,0,0,1,3,4,0,0,8,1,6,0,0,42
Poland,0,2,2,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,14
Portugal,3,1,8,0,1,0,1,0,0,1,0,0,1,0,0,1,6,0,0,3,0,1,1,0,3,0,0,31
Romania,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
Slovenia,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6
Spain,1,5,32,0,2,13,12,0,0,8,4,0,10,3,0,3,13,6,17,3,0,1,26,2,8,0,0,169
Sweden,8,3,34,0,0,4,5,0,0,1,2,0,12,6,0,2,6,3,10,4,0,2,24,0,7,0,0,133
Switzerland,9,3,55,0,1,18,19,0,1,12,4,1,24,4,0,5,8,11,6,13,0,0,48,2,9,0,2,255
Turkey,0,0,2,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,1,0,2,0,0,12
United Kingdom,34,39,133,1,7,44,39,0,1,40,26,3,22,12,0,9,44,18,56,30,1,0,132,12,70,0,0,773
